Final Code	Item Name	UOM		HSN CODE	NEW ITEM DISRIPTION
PMLUL80512A	PERMANENT MAGNETIC LIFTER (1:3T)-260X85X105 MM - 500 KG	NOS			CAT. NO UL80512A PERMANENT MAGNETIC LIFTER (1:3T)-260X85X105 MM - 500 KG
PMLVM300	PERMANENT MAGNETIC LIFTER (1:2T) 300 KG-170X85X105 MM	NOS			CAT. NO VM300 PERMANENT MAGNETIC LIFTER (1:2T) 300 KG-170X85X105 MM
PMLVM600	PERMANENT MAGNETIC LIFTER (1:2T) 600 KG-230X85X105 MM	NOS			CAT. NO VM600 PERMANENT MAGNETIC LIFTER (1:2T) 600 KG-230X85X105 MM
PMLVM1000	PERMANENT MAGNETIC LIFTER (1:2T) 1000 KG-290X110X130 MM	NOS			CAT. NO VM1000 PERMANENT MAGNETIC LIFTER (1:2T) 1000 KG-290X110X130 MM
PMLVM2000	PERMANENT MAGNETIC LIFTER (1:2T) 2000 KG-395X150X160 MM	NOS			CAT. NO VM2000 PERMANENT MAGNETIC LIFTER (1:2T) 2000 KG-395X150X160 MM
VBMUL32001P	MAGNETIC V BLOCK (2")-45X40X55 MM	PAIR			CAT. NO UL32001 MAGNETIC V BLOCK (2")-45X40X55 MM
VBMUL32002P	MAGNETIC V BLOCK (3")-75X56X75 MM	PAIR			CAT. NO UL32002 MAGNETIC V BLOCK (3")-75X56X75 MM
VBMUL32003P	MAGNETIC V BLOCK (4")-100X70X95 MM	PAIR			CAT. NO UL32003 MAGNETIC V BLOCK (4")-100X70X95 MM
VBMUL32004P	MAGNETIC V BLOCK (6")-150X75X100 MM	PAIR			CAT. NO UL32004 MAGNETIC V BLOCK (6")-150X75X100 MM
VBMUL32005P	MAGNETIC V BLOCK (8")-200X125X150 MM	PAIR			CAT. NO UL32005 MAGNETIC V BLOCK (8")-200X125X150 MM
VBMUL32006P	MAGNETIC V BLOCK (6" SPL)-160X125X130 MM	PAIR			CAT. NO UL32006 MAGNETIC V BLOCK (6" SPL)-160X125X130 MM
VBMUL32003PS	MAGNETIC V BLOCK (4")-100X70X95 MM(120)	PAIR			CAT. NO UL32003 MAGNETIC V BLOCK (4")-100X70X95 MM(120)
VBMUL32001N	MAGNETIC V BLOCK (2")-45X40X55 MM	NOS			CAT. NO UL32001-SINGLE MAGNETIC V BLOCK (2")-45X40X55 MM
VBMUL32002N	MAGNETIC V BLOCK (3")-75X56X75 MM	NOS			CAT. NO UL32002-SINGLE MAGNETIC V BLOCK (3")-75X56X75 MM
VBMUL32003N	MAGNETIC V BLOCK (4")-100X70X95 MM	NOS			CAT. NO UL32003-SINGLE MAGNETIC V BLOCK (4")-100X70X95 MM
VBMUL32004N	MAGNETIC V BLOCK-150X75X100 MM	NOS			CAT. NO UL32004-SINGLE MAGNETIC V BLOCK-150X75X100 MM
VBMUL32005N	MAGNETIC V BLOCK (8")-200X125X150 MM	NOS			CAT. NO UL32005-SINGLE MAGNETIC V BLOCK (8")-200X125X150 MM
VBMUL32006N	MAGNETIC V BLOCK (6" SPL)-160X125X130 MM	NOS			CAT. NO UL32006-SINGLE MAGNETIC V BLOCK (6" SPL)-160X125X130 MM
VBMUL32001OP	MAGNETIC V BLOCK (2")-45X40X55 MM	PAIR			CAT. NO UL32001 MAGNETIC V BLOCK (2")-45X40X55 MM
VBMUL32002OP	MAGNETIC V BLOCK (3")-75X56X75 MM	PAIR			CAT. NO UL32002 MAGNETIC V BLOCK (3")-75X56X75 MM
VBMUL32003OP	MAGNETIC V BLOCK (4")-100X70X95 MM	PAIR			CAT. NO UL32003 MAGNETIC V BLOCK (4")-100X70X95 MM
VBMUL32004OP	MAGNETIC V BLOCK (6")-150X75X100 MM	PAIR			CAT. NO UL32004 MAGNETIC V BLOCK (6")-150X75X100 MM
VBMUL32005OP	MAGNETIC V BLOCK (8")-200X125X150 MM	PAIR			CAT. NO UL32005 MAGNETIC V BLOCK (8")-200X125X150 MM
VBMUL32006OP	MAGNETIC V BLOCK (6" SPL)-160X125X130 MM	PAIR			CAT. NO UL32006 MAGNETIC V BLOCK (6" SPL)-160X125X130 MM
VBMUL32001ON	MAGNETIC V BLOCK (2")-45X40X55 MM	NOS			CAT. NO UL32001-SINGLE MAGNETIC V BLOCK (2")-45X40X55 MM
VBMUL32002ON	MAGNETIC V BLOCK (3")-75X56X75 MM	NOS			CAT. NO UL32002-SINGLE MAGNETIC V BLOCK (3")-75X56X75 MM
